0B3D          ; Grapheme_Base
0B40          ; Grapheme_Base
0B47..0B48    ; Grapheme_Base
0B4B..0B4C    ; Grapheme_Base
0B5C..0B5D    ; Grapheme_Base
0B5F..0B61    ; Grapheme_Base
0B66..0B6F    ; Grapheme_Base
0B70          ; Grapheme_Base
0B71          ; Grapheme_Base
0B83          ; Grapheme_Base
0B85..0B8A    ; Grapheme_Base
0B8E..0B90    ; Grapheme_Base
0B92..0B95    ; Grapheme_Base
0B99..0B9A    ; Grapheme_Base
0B9C          ; Grapheme_Base
0B9E..0B9F    ; Grapheme_Base
0BA3..0BA4    ; Grapheme_Base
0BA8..0BAA    ; Grapheme_Base
0BAE..0BB5    ; Grapheme_Base
0BB7..0BB9    ; Grapheme_Base
0BBF          ; Grapheme_Base
0BC1..0BC2    ; Grapheme_Base
0BC6..0BC8    ; Grapheme_Base
0BCA..0BCC    ; Grapheme_Base
0BE7..0BEF    ; Grapheme_Base
0BF0..0BF2    ; Grapheme_Base
0BF3..0BF8    ; Grapheme_Base
0BF9          ; Grapheme_Base
0BFA          ; Grapheme_Base
0C01..0C03    ; Grapheme_Base
0C05..0C0C    ; Grapheme_Base
0C0E..0C10    ; Grapheme_Base
0C12..0C28    ; Grapheme_Base
0C2A..0C33    ; Grapheme_Base
0C35..0C39    ; Grapheme_Base
0C41..0C44    ; Grapheme_Base
0C60..0C61    ; Grapheme_Base
0C66..0C6F    ; Grapheme_Base
0C82..0C83    ; Grapheme_Base
0C85..0C8C    ; Grapheme_Base
0C8E..0C90    ; Grapheme_Base
0C92..0CA8    ; Grapheme_Base
0CAA..0CB3    ; Grapheme_Base
0CB5..0CB9    ; Grapheme_Base
0CBD          ; Grapheme_Base
0CBE          ; Grapheme_Base
0CC0..0CC1    ; Grapheme_Base
0CC3..0CC4    ; Grapheme_Base
0CC7..0CC8    ; Grapheme_Base
0CCA..0CCB    ; Grapheme_Base
0CDE          ; Grapheme_Base
0CE0..0CE1    ; Grapheme_Base
0CE6..0CEF    ; Grapheme_Base
0D02..0D03    ; Grapheme_Base
0D05..0D0C    ; Grapheme_Base
0D0E..0D10    ; Grapheme_Base
0D12..0D28    ; Grapheme_Base
0D2A..0D39    ; Grapheme_Base
0D3F..0D40    ; Grapheme_Base
0D46..0D48    ; Grapheme_Base
0D4A..0D4C    ; Grapheme_Base
